Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Development,C+,1,4.93E-05,0,0,0,0,,,,
Excel,BusinessAnalytic,5,0.00140056,0,0,0,0,,,,
Adobe,Java,5,0.002314815,0,0,0,0,,,,
Development,ETL,7,1.26E-05,0,0,0,0,,,,
Marketing,DataVisualization,1,3.97E-05,0,0,0,0,,,,
SQL,JavaScript,6,3.41E-05,0,0,0,0,,,,
Analytics,Agile,10,1.35E-05,0,0,0,0,,,,
Assurance,T-SQL,3,8.28E-04,0,0,0,0,,,,
Analytics,RelationalDatabase,5,6.41E-05,0,0,0,0,,,,
SQL,Spring,1,1.20E-05,0,0,0,0,,,,
Adobe,SDK,1,0.003333333,0,0,0,0,,,,
BusinessIntelligence,Storage,3,6.26E-04,0,0,0,0,,,,
RiskManagement,Troubleshooting,1,6.80E-04,0,0,0,0,,,,
Marketing,Security,4,4.41E-06,0,0,0,0,,,,
Analyst,jQuery,7,3.23E-05,0,0,0,0,,,,
MySQL,Architect,1,0.00462963,0,0,0,0,,,,
Excel,Waterfall,4,8.96E-04,0,0,0,0,,,,
SQL,DataMining,2,4.80E-05,0,0,0,0,,,,
Development,GIS,1,3.29E-06,0,0,0,0,,,,
Design,ARM,2,2.19E-04,0,0,0,0,,,,
Scala,AmazonRedshift,1,1,0,0,0,0,,,,
SAS,Hive,2,1.63E-04,0,0,0,0,,,,
Analysis,Hive,3,9.03E-05,0,0,0,0,,,,
Marketing,HTML,11,9.41E-05,0,0,0,0,,,,
Marketing,MySQL,1,1.32E-05,0,0,0,0,,,,
Reporting,UX,2,1.09E-05,0,0,0,0,,,,
R,Hadoop,8,2.07E-04,0,0,0,0,,,,
Development,Tableau,15,5.61E-05,0,0,0,0,,,,
Developer,Linux,1,7.51E-04,0,0,0,0,,,,
Prototype,MATLAB,1,0.005555556,0,0,0,0,,,,
SQL,GO,24,1.79E-04,0,0,0,0,,,,
SoftwareDevelopment,C++,1,0.001388889,0,0,0,0,,,,
SQL,Network,20,3.28E-05,0,0,0,0,,,,
ProjectManagement,MsOffice,6,2.09E-04,0,0,0,0,,,,
SQL,Oracle,11,1.18E-04,0,0,0,0,,,,
Tableau,D3,1,0.005050505,0,0,0,0,,,,
Hadoop,DataScience,3,0.003333333,0,0,0,0,,,,
iPad,HTML,1,0.019607844,0,0,0,0,,,,
Monitoring,CustomerSupport,15,7.00E-04,0,0,0,0,,,,
Marketing,IPhone,1,1.32E-05,0,0,0,0,,,,
Programming,VersionControl,1,9.80E-04,0,0,0,0,,,,
Unix,Java,1,0.006944444,0,0,0,0,,,,
Finance,CustomerSupport,16,9.21E-05,0,0,0,0,,,,
StatisticalAnalysis,Couchbase,1,0.005050505,0,0,0,0,,,,
Network,TCP,3,0.001709402,0,0,0,0,,,,
Network,Pig,1,5.70E-04,0,0,0,0,,,,
Database,DataManagement,3,5.02E-05,0,0,0,0,,,,
Reporting,T-SQL,4,2.18E-04,0,0,0,0,,,,
C,Monitoring,12,1.37E-04,0,0,0,0,,,,
ProjectManagement,PerformanceTesting,3,0.005319149,0,0,0,0,,,,
