Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Monitoring,PHP,3,0.00413603,0,0,0,0,,,,
SQL,Visio,5,6.09E-04,0,0,0,0,,,,
Analyst,ActiveDirectory,2,7.42E-05,0,0,0,0,,,,
SAS,ProductManagement,1,1.71E-04,0,0,0,0,,,,
Development,Adobe,4,2.20E-05,0,0,0,0,,,,
Agile,UML,2,0.013986014,0,0,0,0,,,,
Reporting,MATLAB,3,1.18E-04,0,0,0,0,,,,
Analyst,R,28,3.34E-05,0,0,0,0,,,,
Reporting,SharePoint,2,1.31E-05,0,0,0,0,,,,
Analysis,ProductManagement,2,2.34E-04,0,0,0,0,,,,
Assurance,Design,8,5.46E-05,0,0,0,0,,,,
Analytics,Pig,1,2.01E-04,0,0,0,0,,,,
Analysis,PerformanceTesting,1,1.17E-04,0,0,0,0,,,,
SQL,Marketing,39,5.26E-05,0,0,0,0,,,,
Design,Networking,1,1.32E-04,0,0,0,0,,,,
Tableau,MachineLearning,2,0.002962963,0,0,0,0,,,,
BusinessIntelligence,SSIS,2,5.31E-04,0,0,0,0,,,,
WebAnalytics,Hadoop,1,4.81E-05,0,0,0,0,,,,
Monitoring,ProjectManagement,11,9.76E-04,0,0,0,0,,,,
ProjectManagement,Finance,6,2.96E-05,0,0,0,0,,,,
Analyst,DataScience,1,6.18E-06,0,0,0,0,,,,
Python,Hadoop,1,3.97E-04,0,0,0,0,,,,
RiskManagement,VBA,4,9.77E-04,0,0,0,0,,,,
Analytics,FinTech,1,6.72E-05,0,0,0,0,,,,
WebAnalytics,Tools,3,4.21E-04,0,0,0,0,,,,
Statistics,VBA,4,0.00220568,0,0,0,0,,,,
BigData,Hive,1,0.004464286,0,0,0,0,,,,
DataMining,Pentaho,1,0.027777778,0,0,0,0,,,,
Excel,T-SQL,1,8.26E-04,0,0,0,0,,,,
Analytic,MachineLearning,3,1.77E-04,0,0,0,0,,,,
Analysis,Hudson,1,2.34E-05,0,0,0,0,,,,
C,SoftwareDevelopment,1,4.83E-04,0,0,0,0,,,,
BusinessIntelligence,Visio,7,0.003902828,0,0,0,0,,,,
Oracle,DataWarehouse,4,0.006046863,0,0,0,0,,,,
Tools,Python,2,0.00154321,0,0,0,0,,,,
Scrum,Prototype,1,0.03125,0,0,0,0,,,,
Analytics,BusinessIntelligence,16,6.16E-05,0,0,0,0,,,,
Marketing,Database,15,4.68E-05,0,0,0,0,,,,
Design,DataAnalysis,2,6.59E-05,0,0,0,0,,,,
Excel,Automation,3,1.77E-04,0,0,0,0,,,,
Developer,Shell,1,0.00462963,0,0,0,0,,,,
Database,Visio,4,0.002344322,0,0,0,0,,,,
Marketing,FinTech,1,3.16E-05,0,0,0,0,,,,
Development,BusinessObjects,4,4.58E-05,0,0,0,0,,,,
Tools,VBA,4,0.002849003,0,0,0,0,,,,
MATLAB,Visualization,1,0.050000001,0,0,0,0,,,,
Analysis,DatabaseDesign,3,3.52E-04,0,0,0,0,,,,
Finance,BigData,5,4.19E-05,0,0,0,0,,,,
Statistics,Python,2,0.001194743,0,0,0,0,,,,
Excel,UX,1,8.26E-05,0,0,0,0,,,,
SQL,SSIS,3,3.65E-04,0,0,0,0,,,,
Design,XML,3,3.96E-04,0,0,0,0,,,,
Marketing,BusinessIntelligence,14,2.22E-05,0,0,0,0,,,,
GO,CRM,2,3.27E-05,0,0,0,0,,,,
Analyst,CSS,3,1.11E-04,0,0,0,0,,,,
SQL,Swift,2,4.87E-04,0,0,0,0,,,,
Analytics,Database,4,7.08E-06,0,0,0,0,,,,
CRM,Oracle,3,2.70E-04,0,0,0,0,,,,
Windows,Finance,2,2.08E-05,0,0,0,0,,,,
SPSS,MsOffice,2,1.05E-04,0,0,0,0,,,,
CRM,Network,2,1.04E-05,0,0,0,0,,,,
Analytics,AgileProjectManagement,1,2.01E-04,0,0,0,0,,,,
Tableau,ComputerScience,2,9.26E-04,0,0,0,0,,,,
Monitoring,R,8,1.35E-04,0,0,0,0,,,,
C,RiskManagement,2,8.28E-05,0,0,0,0,,,,
Finance,R,8,1.38E-05,0,0,0,0,,,,
Programming,LeSS,1,8.77E-04,0,0,0,0,,,,
BusinessIntelligence,Architect,4,4.25E-04,0,0,0,0,,,,
Reporting,Waterfall,2,5.23E-04,0,0,0,0,,,,
Finance,ActiveDirectory,1,9.38E-05,0,0,0,0,,,,
Tools,jQuery,3,0.010416667,0,0,0,0,,,,
SQL,Developer,3,1.52E-05,0,0,0,0,,,,
Analyst,PHP,4,1.48E-04,0,0,0,0,,,,
SAS,MapReduce,1,1.71E-04,0,0,0,0,,,,
SPSS,Statistics,8,0.002606712,0,0,0,0,,,,
Development,Programming,12,1.04E-04,0,0,0,0,,,,
SAS,RiskManagement,5,4.07E-05,0,0,0,0,,,,
Analysis,RiskManagement,7,2.73E-05,0,0,0,0,,,,
Analysis,MapReduce,2,2.34E-04,0,0,0,0,,,,
Analytic,SDK,1,2.96E-04,0,0,0,0,,,,
Development,StatisticalAnalysis,9,1.43E-04,0,0,0,0,,,,
