Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Assurance,Design,1,1.40E-04,0,0,0,0,,,,
ProjectManagement,MATLAB,1,0.008333334,0,0,0,0,,,,
Analytics,Pig,1,0.00456621,0,0,0,0,,,,
SQL,Marketing,1,1.54E-05,0,0,0,0,,,,
CVS,R,1,0.004310345,0,0,0,0,,,,
Hardware,VMware,1,0.0625,0,0,0,0,,,,
SAS,StatisticalAnalysis,1,0.001157407,0,0,0,0,,,,
Tableau,R,1,7.18E-04,0,0,0,0,,,,
Monitoring,ProjectManagement,1,6.54E-04,0,0,0,0,,,,
BusinessIntelligence,VBA,1,0.001792115,0,0,0,0,,,,
ProjectManagement,Finance,2,3.25E-04,0,0,0,1,,,,
Design,Oracle,2,0.00127551,0,0,0,0,,,,
Python,Hadoop,1,0.008333334,0,0,0,0,,,,
Design,GO,1,3.72E-04,0,0,0,0,,,,
StatisticalAnalysis,Analysis,1,2.10E-04,0,0,0,0,,,,
Agile,Reporting,1,2.89E-04,0,0,0,0,,,,
Scrum,Developer,1,0.006944444,0,0,0,0,,,,
Statistics,VBA,2,0.074074075,1,1,0,0,,,,
BigData,Hive,1,0.0625,0,0,0,0,,,,
Tableau,Oracle,1,0.005952381,0,0,0,0,,,,
Design,R,2,1.54E-04,0,0,0,0,,,,
StatisticalAnalysis,SPSS,1,0.007575758,0,0,0,0,,,,
C,VMware,1,0.025,0,0,0,0,,,,
BusinessAnalytic,Hive,1,1,0,0,0,0,,,,
Finance,Storage,1,0.002439024,0,0,0,0,,,,
GO,CVS,1,0.041666668,0,0,0,0,,,,
Development,SQL,1,1.27E-05,0,0,0,0,,,,
Analytic,R,3,4.13E-04,0,0,0,0,,,,
Oracle,DataWarehouse,1,0.007936508,0,0,0,0,,,,
Scrum,Prototype,1,0.125,0,0,0,0,,,,
Analytics,BusinessIntelligence,1,4.91E-05,0,0,0,0,,,,
SQL,Python,1,7.72E-04,0,0,0,0,,,,
CustomerSupport,VMware,1,0.050000001,0,0,0,0,,,,
CVS,Oracle,1,0.035714287,0,0,0,0,,,,
Analyst,GO,2,1.36E-04,0,0,0,0,,,,
Analytics,Hadoop,1,4.57E-04,0,0,0,0,,,,
Analyst,Oracle,2,1.17E-04,0,0,0,0,,,,
SQL,VBA,1,0.00154321,0,0,0,0,,,,
Analyst,Network,2,2.02E-05,0,0,0,0,,,,
Excel,StatisticalAnalysis,1,0.001666667,0,0,0,0,,,,
Statistics,Python,1,0.009259259,0,0,0,0,,,,
MsOffice,Hardware,1,0.005208333,0,0,0,0,,,,
Marketing,BusinessIntelligence,2,7.17E-05,8,2,0,0,,,,
Analyst,Assurance,2,5.10E-05,0,0,0,0,,,,
Analyst,Networking,1,1.36E-04,0,0,0,0,,,,
Python,Pig,1,0.083333336,0,0,0,0,,,,
Programming,SPSS,1,0.004545454,0,0,0,0,,,,
CRM,Oracle,1,0.00105042,0,0,0,0,,,,
Development,Statistics,1,1.53E-04,0,0,0,0,,,,
MsOffice,Cloud,1,0.011904762,0,0,0,0,,,,
CRM,Network,1,1.82E-04,0,0,0,0,,,,
Analysis,Scrum,1,1.57E-04,0,0,0,0,,,,
Monitoring,Windows,1,0.001633987,0,0,0,0,,,,
Tableau,ProjectManagement,1,0.002777778,0,0,0,0,,,,
Monitoring,R,1,1.69E-04,0,0,0,0,,,,
Reporting,CRM,1,4.67E-05,0,0,0,0,,,,
BusinessIntelligence,Architect,1,0.001194743,0,0,0,0,,,,
C,BusinessIntelligence,1,2.69E-04,0,0,0,0,,,,
Analysis,BusinessIntelligence,3,1.22E-04,0,0,0,0,,,,
SPSS,Statistics,2,0.02020202,1,2,0,0,,,,
Tableau,JavaScript,1,0.010416667,0,0,0,0,,,,
Database,Prototype,1,0.025641026,0,0,0,0,,,,
Development,MsOffice,1,1.14E-04,0,0,0,0,,,,
Analyst,Reporting,7,6.35E-05,0,0,0,0,,,,
ProjectManagement,DataWarehouse,1,0.003703704,0,0,0,0,,,,
StatisticalAnalysis,VBA,1,0.027777778,0,0,0,0,,,,
R,MATLAB,1,0.002155172,0,0,0,0,,,,
Analyst,VersionControl,1,4.08E-04,0,0,0,0,,,,
